place_id,place_name,place_types,place_address,place_average_ratings,place_ratings_count,place_reviews_count,place_location,place_website,place_phone_number,place_price_level,place_primary_type,has_delivery,has_dine_in,is_reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,places_opening_hours
ChIJ--NFldPafkcRyloMacuXomc,Gustò Grill,"[""chinese_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Uruguay, 31, 35127 Padova PD",3.7,1357.0,5,"{""latitude"": 45.398666, ""longitude"": 11.9283655}",https://www.facebook.com/gustogrill/,049 761657,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,,True,True,False,True,True,True,True,"[""Monday: Closed"", ""Tuesday: 12:00 – 2:30 PM, 7:00 PM – 12:00 AM"", ""Wednesday: 12:00 – 2:30 PM, 7:00 PM – 12:00 AM"", ""Thursday: 12:00 – 2:30 PM, 7:00 PM – 12:00 AM"", ""Friday: 12:00 – 2:30 PM, 7:00 PM – 12:00 AM"", ""Saturday: 7:00 PM – 12:00 AM"", ""Sunday: 12:00 – 2:30 PM, 7:00 PM – 12:00 AM""]"
ChIJ-YFvJgDbfkcRQelzWXXEBjw,Sicilian Goodness – Padova Fiera,"[""fast_food_restaurant"", ""ice_cream_shop"", ""italian_restaurant"", ""dessert_shop"", ""confectionery"", ""food_store"", ""store"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Niccolò Tommaseo, 80c, 35131 Padova PD",4.0,4.0,4,"{""latitude"": 45.41307020000001, ""longitude"": 11.889869599999999}",https://siciliangoodness.com/punti-vendita/padova-fiera/,049 830 5182,,italian_restaurant,True,True,,True,True,True,True,True,"[""Monday: 8:00 AM – 8:00 PM"", ""Tuesday: 8:00 AM – 8:00 PM"", ""Wednesday: 8:00 AM – 8:00 PM"", ""Thursday: 8:00 AM – 8:00 PM"", ""Friday: 8:00 AM – 8:00 PM"", ""Saturday: Closed"", ""Sunday: Closed""]"
ChIJ-dtyAQfbfkcRsedfAUT0nfc,Via Persia,"[""persian_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Niccolò Tommaseo, 70/3, 35131 Padova PD",4.8,80.0,5,"{""latitude"": 45.414516, ""longitude"": 11.885973}",,376 195 7390,PRICE_LEVEL_MODERATE,persian_restaurant,False,True,True,,True,True,True,,"[""Monday: Closed"", ""Tuesday: 12:00 – 2:30 PM, 7:30 – 10:00 PM"", ""Wednesday: 12:00 – 2:30 PM, 7:30 – 10:00 PM"", ""Thursday: 12:00 – 2:30 PM, 7:30 – 10:00 PM"", ""Friday: 12:00 – 2:30 PM, 7:30 – 10:00 PM"", ""Saturday: 12:00 – 2:30 PM, 7:30 – 10:00 PM"", ""Sunday: 12:00 – 2:30 PM, 7:30 – 10:00 PM""]"
ChIJ-fLiwWrFfkcR446Y2U5Dr4A,Shang Chang,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Corso Stati Uniti, 1/22, 35127 Padova PD",3.9,90.0,5,"{""latitude"": 45.395414599999995, ""longitude"": 11.9320003}",,333 169 7368,PRICE_LEVEL_MODERATE,restaurant,False,True,True,,True,True,True,True,"[""Monday: 10:00 AM – 12:00 AM"", ""Tuesday: 10:00 AM – 12:00 AM"", ""Wednesday: 10:00 AM – 12:00 AM"", ""Thursday: 10:00 AM – 12:00 AM"", ""Friday: 10:00 AM – 12:00 AM"", ""Saturday: 11:00 AM – 12:00 AM"", ""Sunday: 10:00 AM – 12:00 AM""]"
ChIJ-yQnyhPbfkcRAHXgsEK60pc,Brunch Republic Padova,"[""brunch_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","P.za della Garzeria, 6, 35135 Padova PD",4.1,1343.0,5,"{""latitude"": 45.407319699999995, ""longitude"": 11.8776168}",https://brunchrepublic.com/,049 501 5689,PRICE_LEVEL_MODERATE,brunch_restaurant,True,True,True,True,True,True,True,True,"[""Monday: 8:00 AM – 11:00 PM"", ""Tuesday: 8:00 AM – 11:00 PM"", ""Wednesday: 8:00 AM – 11:00 PM"", ""Thursday: 8:00 AM – 11:00 PM"", ""Friday: 8:00 AM – 12:00 AM"", ""Saturday: 8:30 AM – 12:00 AM"", ""Sunday: 8:30 AM – 11:00 PM""]"
ChIJ00onu6PbfkcR7wa4KToqW08,Pizzeria Stuzzico 2,"[""pizza_restaurant"", ""italian_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Guizza Conselvana, 25, 35124 Padova PD",4.5,167.0,5,"{""latitude"": 45.383403, ""longitude"": 11.8687966}",,049 691378,PRICE_LEVEL_INEXPENSIVE,pizza_restaurant,True,True,,False,,True,True,False,"[""Monday: Closed"", ""Tuesday: 6:00 – 11:30 PM"", ""Wednesday: 6:00 – 11:30 PM"", ""Thursday: 6:00 – 11:30 PM"", ""Friday: 6:00 – 11:30 PM"", ""Saturday: 6:00 – 11:30 PM"", ""Sunday: 6:00 – 11:30 PM""]"
ChIJ02fS7q_bfkcRCy_5f_aczIQ,So Restaurant Padova,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Volturno, 1, 35138 Padova PD",4.3,1079.0,5,"{""latitude"": 45.4114741, ""longitude"": 11.863442700000002}",https://sorestaurant.it/,388 448 9588,PRICE_LEVEL_MODERATE,restaurant,True,True,True,,True,True,True,True,"[""Monday: 12:00 – 3:00 PM, 7:00 – 11:30 PM"", ""Tuesday: 12:00 – 3:00 PM, 7:00 – 11:30 PM"", ""Wednesday: 12:00 – 3:00 PM, 7:00 – 11:30 PM"", ""Thursday: 12:00 – 3:00 PM, 7:00 – 11:30 PM"", ""Friday: 12:00 – 3:00 PM, 7:00 – 11:30 PM"", ""Saturday: 12:00 – 3:00 PM, 7:00 – 11:30 PM"", ""Sunday: 12:00 – 3:00 PM, 7:00 – 11:30 PM""]"
ChIJ08t8WjjafkcRIaydrYfr9Yc,Busa dei Briganti Pub Padova,"[""gastropub"", ""hamburger_restaurant"", ""american_restaurant"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Vicenza, 15B, 35138 Padova PD",4.4,2006.0,5,"{""latitude"": 45.4114779, ""longitude"": 11.8621843}",http://www.busadeibriganti.com/,049 871 3781,PRICE_LEVEL_MODERATE,gastropub,True,True,True,False,True,True,True,True,"[""Monday: 5:30 PM – 12:00 AM"", ""Tuesday: 5:30 PM – 12:00 AM"", ""Wednesday: 5:30 PM – 12:00 AM"", ""Thursday: 5:30 PM – 12:00 AM"", ""Friday: 5:30 PM – 1:00 AM"", ""Saturday: 5:30 PM – 1:00 AM"", ""Sunday: 5:30 PM – 12:00 AM""]"
ChIJ0QGvGvbbfkcRQ6pIDhdA7fI,Garibaldi 9,"[""bistro"", ""cafe"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]","P.za Garibaldi, 9, 35122 Padova PD",5.0,21.0,5,"{""latitude"": 45.4092279, ""longitude"": 11.8781093}",https://garibaldi9web.garibaldinove9.workers.dev/menu,,PRICE_LEVEL_INEXPENSIVE,bistro,False,True,,,,,,,"[""Monday: 8:00 AM – 8:00 PM"", ""Tuesday: 8:00 AM – 8:00 PM"", ""Wednesday: 8:00 AM – 8:00 PM"", ""Thursday: 8:00 AM – 8:00 PM"", ""Friday: 8:00 AM – 8:00 PM"", ""Saturday: 8:00 AM – 8:00 PM"", ""Sunday: 8:00 AM – 8:00 PM""]"
ChIJ0Tk-WRXbfkcRBeTPAiUjW5I,EVO Sushi - Padova,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Via Pilade Bronzetti, 34, 35138 Padova PD",4.7,390.0,5,"{""latitude"": 45.4148505, ""longitude"": 11.864057299999999}",https://portal.pointsme.it/flyer/#/menu-preview/253467127754641409,376 296 1183,PRICE_LEVEL_MODERATE,restaurant,,True,True,,True,True,True,True,"[""Monday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"", ""Tuesday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"", ""Wednesday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"", ""Thursday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"", ""Friday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"", ""Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"", ""Sunday: 12:00 – 3:00 PM, 7:00 – 11:00 PM""]"
