place_id,review,review_rating,review_publish_time,review_publish_time_str
ChIJ--NFldPafkcRyloMacuXomc,"Ladri!  Thieves!  I entered for lunch.  Prices posted on every table.  Even though my visit was the Monday AFTER Easter, I presumed I would be asked to pay the (Giorno Festiva) Holiday Rate.  Instead, when I went to pay my bill these thieves added another €10 to the bill.  They told me that it doesn't matter the price posted on every table, that they had a TV monitor someplace in the foyer with the trumped up price.  I tried to explain to the manager that EVERY TABLE had a price list, and NONE gave the double-cost price they charged.  He did nothing to make it right!

The food was mediocre at best.  A young 'cook' went around to many tables offering special slices of meat from a skewer, but never came to my table.  I had eaten at this place many times before while traveling, and only stopped this time because it was convenient to the highway exit.

Do not waste your time or money to go here.  They were rude and made no effort to resolve the discrepancy between the price posted on every table what they actually charge!",1,2018-04-02T13:08:00.521Z,8 years ago
ChIJ--NFldPafkcRyloMacuXomc,Here you think to be in China. Very huge piace with many reserved rooms with typical round table even for 50 persons if you need. The food are very nice and here we've find some speciality that we havent find in others chinese restaurants. Must try!,5,2017-03-16T09:00:46.850Z,9 years ago
ChIJ--NFldPafkcRyloMacuXomc,Very good quality and nice looking place. Had to wait a little to much and after asking multiple times for more wasabi they still were not bringing it.... It was pretty annoying.,3,2017-04-02T09:41:49.327Z,9 years ago
ChIJ--NFldPafkcRyloMacuXomc,"I think it looks good, just eat whatever you want and pay only €9.90. Well, I saw some people eating four times.",4,2017-09-02T12:17:29.644Z,8 years ago
ChIJ--NFldPafkcRyloMacuXomc,"Best value for money buffet in Padova, chinese and japanese food",4,2016-07-27T18:44:17.520Z,10 years ago
ChIJ-YFvJgDbfkcRQelzWXXEBjw,"It's basically a smaller version of the other location in Padova. Students have a 10% discount. I wouldn't say it sells ""Street Food Catanese"", since it sells things that you won't find in Catania.",4,2026-04-28T13:18:27.273355942Z,4 months ago
ChIJ-YFvJgDbfkcRQelzWXXEBjw,"Very kind and helpful staff.
The sandwich was good, but noticeably smaller than the advert on Google.
Prices were normal.
It's a shame the brioches arrived a little stale.
Maybe I'll try again.",3,2026-05-08T12:01:51.542722425Z,3 months ago
ChIJ-YFvJgDbfkcRQelzWXXEBjw,"I tried the new Catanese pistachio mafaldina. It was amazing, I'll be back to try the others 🤤🤤🤤",5,2026-05-01T18:29:44.338051312Z,3 months ago
ChIJ-dtyAQfbfkcRsedfAUT0nfc,"Great restaurant with high-quality food and a clean, peaceful atmosphere. The staff were very friendly, respectful, and attentive. What made our visit truly memorable was that they kindly offered us complimentary tea and baklava at the end of our meal. Such a thoughtful gesture! We really enjoyed our experience and would definitely come back",5,2026-06-03T21:15:37.940604800Z,2 months ago
ChIJ-dtyAQfbfkcRsedfAUT0nfc,"AMAZING. We loved it. The owner is the most kind and helpful. The food is delicious and juicy. The place is clean, comfortable and most welcoming. Loved it.",5,2026-03-13T13:56:21.417484500Z,5 months ago
ChIJ-dtyAQfbfkcRsedfAUT0nfc,"I had a wonderful experience at this Persian restaurant in Padova. The food was authentic, flavorful, and clearly prepared with care. The kebabs were perfectly grilled, the rice was fragrant, and the appetizers were delicious. The atmosphere was warm and welcoming, and the staff were very friendly and attentive. It’s a great place to discover Persian cuisine or enjoy a comforting meal with friends. I will definitely come back!🇮🇷",5,2026-03-13T21:02:44.680933039Z,5 months ago
ChIJ-dtyAQfbfkcRsedfAUT0nfc,"Delicious food and welcoming atmosphere. If you want to try a real Iranian kabab, you need to go there!",5,2026-05-10T13:39:09.438858899Z,3 months ago
ChIJ-dtyAQfbfkcRsedfAUT0nfc,The food was very delicious and reminded me my beautiful country. If you want to try a great Persian food I definitely recommend this restaurant,5,2026-03-01T21:17:52.651228043Z,5 months ago
ChIJ-fLiwWrFfkcR446Y2U5Dr4A,"I'm a Chinese and I dont think the food is up to par. Dishes came out to be very far from the menu presentation. Fish ball soup tastes sourish probably from the vinegar used, pork ribs are tasteless (frozen meat?) and the prawns weren't fresh at all",2,2023-09-26T08:49:00.475045Z,2 years ago
ChIJ-fLiwWrFfkcR446Y2U5Dr4A,"I have to be honest and say that this was a very disappointing meal - the food looked nothing like the picture on display on the menu - mine tasted very bland and had tiny, fatty pieces of beef; nothing like the black sauce beef I am more familiar with. The service was well below par. Totally disappointed and I wished I had stuck yo my guns and hone a little further down for a panini. Never again",1,2025-08-01T18:54:36.752567188Z,a year ago
